,age,ed,employ,address,income,debtinc,creddebt,othdebt,default
0,,3.0,17.0,12.0,176.0,9.3,11.359392,5.008608,
1,27.0,1.0,10.0,6.0,31.0,17.3,1.362202,4.000798,0.0
2,40.0,1.0,15.0,14.0,55.0,5.5,0.856075,2.168925,0.0
3,41.0,1.0,15.0,14.0,120.0,2.9,2.65872,0.82128,0.0
4,24.0,2.0,2.0,0.0,28.0,17.3,1.787436,3.056564,1.0
5,41.0,2.0,5.0,5.0,25.0,10.2,0.3927,2.1573,0.0
6,39.0,1.0,20.0,9.0,67.0,30.6,3.833874,16.668126,0.0
7,43.0,1.0,12.0,11.0,38.0,3.6,0.128592,1.239408,0.0
8,24.0,1.0,3.0,4.0,19.0,24.4,1.358348,3.277652,
9,36.0,1.0,0.0,13.0,25.0,19.7,2.7777,2.1473,
10,27.0,1.0,0.0,1.0,16.0,1.7,0.182512,0.089488,
11,25.0,1.0,4.0,0.0,23.0,5.2,0.252356,0.943644,
12,52.0,1.0,24.0,14.0,64.0,10.0,3.9296,2.4704,
13,37.0,1.0,6.0,9.0,29.0,16.3,1.715901,3.011099,
14,48.0,1.0,22.0,15.0,100.0,9.1,3.7037,5.3963,
15,36.0,2.0,9.0,6.0,49.0,8.6,0.817516,3.396484,
16,36.0,2.0,13.0,6.0,41.0,16.4,2.918216,3.805784,
17,43.0,1.0,23.0,19.0,72.0,7.6,1.181952,4.290048,
18,39.0,1.0,6.0,9.0,61.0,5.7,0.563274,2.913726,
19,41.0,3.0,0.0,21.0,,1.7,0.099008,0.342992,
20,39.0,1.0,22.0,3.0,52.0,3.2,1.154816,0.509184,
21,47.0,1.0,17.0,21.0,43.0,5.6,0.587552,1.820448,0.0
22,28.0,1.0,3.0,6.0,26.0,10.0,0.4316,2.1684,0.0
23,29.0,1.0,,6.0,27.0,9.8,0.402192,2.243808,0.0
24,21.0,2.0,,2.0,16.0,18.0,0.24192,2.63808,1.0
25,25.0,4.0,,2.0,32.0,17.6,2.14016,3.49184,0.0
26,45.0,2.0,,26.0,69.0,6.7,,3.915681,0.0
27,43.0,1.0,25.0,21.0,64.0,16.7,,9.736768,0.0
28,33.0,2.0,12.0,8.0,58.0,18.4,,7.587792,0.0
29,26.0,3.0,2.0,1.0,37.0,14.2,,5.049094,0.0
30,45.0,1.0,3.0,15.0,20.0,2.1,,0.315,0.0
31,30.0,1.0,1.0,10.0,22.0,10.5,,1.17117,0.0
32,27.0,3.0,2.0,7.0,26.0,6.0,,0.83772,0.0
33,25.0,1.0,8.0,4.0,27.0,14.4,1.018656,2.869344,0.0
34,25.0,1.0,8.0,1.0,35.0,2.9,,0.93786,0.0
35,26.0,2.0,6.0,7.0,45.0,26.0,6.0489,5.6511,0.0
36,30.0,2.0,10.0,4.0,22.0,16.1,,2.132284,0.0
37,32.0,2.0,12.0,1.0,54.0,14.4,3.195936,4.580064,
38,28.0,2.0,1.0,8.0,24.0,17.1,,2.766096,
39,,1.0,23.0,5.0,50.0,4.2,,1.5414,
40,,1.0,7.0,,31.0,6.6,0.33759,1.70841,
41,,1.0,17.0,,59.0,8.0,1.80776,2.91224,
42,,2.0,7.0,,41.0,4.6,0.941114,0.944886,
43,,1.0,19.0,,48.0,13.1,1.930416,4.357584,
44,26.0,1.0,0.0,,14.0,7.5,0.3024,0.7476,
45,21.0,2.0,0.0,1.0,16.0,6.8,0.150144,0.937856,
46,35.0,1.0,13.0,15.0,35.0,4.5,0.43155,1.14345,
47,47.0,1.0,4.0,2.0,26.0,10.4,0.12168,2.58232,
48,23.0,2.0,0.0,2.0,21.0,11.4,0.775656,1.618344,
49,35.0,1.0,18.0,2.0,42.0,7.4,0.205128,2.902872,0.0
50,34.0,1.0,2.0,11.0,25.0,12.6,0.5733,2.5767,
51,46.0,1.0,1.0,12.0,20.0,14.0,0.8092,1.9908,
52,46.0,1.0,16.0,18.0,52.0,12.9,3.032016,3.675984,
53,38.0,3.0,3.0,18.0,25.0,3.7,0.311725,0.613275,
54,40.0,2.0,3.0,2.0,28.0,9.5,0.55328,2.10672,
55,37.0,1.0,1.0,3.0,24.0,15.1,1.801128,1.822872,
56,35.0,1.0,9.0,1.0,34.0,5.0,0.3978,1.3022,
57,39.0,2.0,16.0,13.0,69.0,2.4,1.061496,0.594504,
58,40.0,3.0,18.0,6.0,100.0,2.5,1.485,1.015,
59,50.0,3.0,10.0,20.0,80.0,12.2,2.47904,7.28096,
60,31.0,1.0,9.0,10.0,28.0,2.4,0.047712,0.624288,
61,29.0,1.0,13.0,1.0,42.0,7.4,1.457652,1.650348,
62,37.0,1.0,4.0,0.0,23.0,12.4,0.86986,1.98214,
63,33.0,2.0,4.0,9.0,55.0,7.0,2.15985,1.69015,0.0
64,26.0,2.0,5.0,7.0,28.0,7.8,1.024296,1.159704,
65,32.0,2.0,11.0,6.0,75.0,23.3,7.7589,9.7161,
66,28.0,2.0,2.0,3.0,23.0,6.4,0.186944,1.285056,
67,39.0,1.0,19.0,8.0,46.0,9.1,2.515786,1.670214,0.0
68,28.0,2.0,8.0,3.0,31.0,8.2,1.492154,1.049846,
69,29.0,1.0,1.0,2.0,20.0,18.6,0.56916,3.15084,
70,34.0,2.0,3.0,8.0,21.0,23.1,1.401939,3.449061,
71,28.0,2.0,5.0,9.0,34.0,23.8,3.099236,4.992764,
72,47.0,1.0,26.0,21.0,100.0,12.8,4.5824,8.2176,
73,43.0,4.0,1.0,5.0,26.0,10.6,1.518556,1.237444,
74,41.0,1.0,13.0,10.0,44.0,1.7,0.07106,0.67694,
75,47.0,1.0,13.0,25.0,51.0,23.8,3.738504,8.399496,
76,24.0,1.0,2.0,1.0,21.0,0.6,0.025074,0.100926,
77,29.0,1.0,1.0,9.0,17.0,6.7,0.157182,0.981818,
78,33.0,1.0,14.0,2.0,37.0,2.6,0.199134,0.762866,
79,36.0,1.0,,10.0,39.0,3.2,0.6864,0.5616,
80,26.0,1.0,,3.0,27.0,10.5,2.47212,0.36288,
